Beer Style,Beer Substyle,Beer Name,Brewery,,,,,,,
Pale Lagers,Pilsner - Imperial,Tilted Smile Imperial Pilsner,Uinta Brewing Company,,,,,,,
Porters,Porter - American,Everett Porter,Hill Farmstead Brewery,,,,,,,
Porters,Porter - American,Shake Chocolate Porter,Boulder Beer / Wilderness Pub,,,,,,,
Porters,Porter - American,Twilight Of The Idols,Hill Farmstead Brewery,,,,,,,
Porters,Porter - American,Texas Ranger (Chipotle Porter),Mikkeller ApS,,,,,,,
Porters,Porter - Baltic,Bourbon Barrel-Aged Framinghammer,Jack's Abby Brewing,,,,,,,
Porters,Porter - Baltic,Baltic Porter,Smuttynose Brewing Company,,,,,,,
Porters,Porter - Baltic,3Beans,Sixpoint Brewery,,,,,,,
Porters,Porter - Baltic,Shipwreck Porter - Bourbon Barrel-Aged,Arcadia Brewing Company,,,,,,,
Porters,Porter - Baltic,Baltika #6 Porter,Baltika Breweries,,,,,,,
Porters,Porter - Baltic,Barrel-Aged Framinghammer - Vanilla,Jack's Abby Brewing,,,,,,,
Porters,Porter - Baltic,Baltic Porter,The Duck-Rabbit Craft Brewery,,,,,,,
Porters,Porter - Baltic,Porter,Zywiec Breweries PLC (Heineken),,,,,,,
Porters,Porter - Baltic,Barrel-Aged Framinghammer - Coffee,Jack's Abby Brewing,,,,,,,
Porters,Porter - Baltic,Smoke,Surly Brewing Company,,,,,,,
Porters,Porter - Baltic,Framinghammer,Jack's Abby Brewing,,,,,,,
Porters,Porter - Baltic,Black Boss Porter,BOSS Browar Witnica S.A.,,,,,,,
Porters,Porter - Baltic,Topless Wytch,3 Floyds Brewing Co.,,,,,,,
Porters,Porter - Baltic,He Said (Baltic Porter),21st Amendment Brewery,,,,,,,
Porters,Porter - Baltic,Sea Legs Baltic Porter,Uinta Brewing Company,,,,,,,
Porters,Porter - Baltic,Grande Cuvée Porter Baltique,Les Trois Mousquetaires,,,,,,,
Porters,Porter - Baltic,Fear & Trembling,Hill Farmstead Brewery,,,,,,,
Porters,Porter - Baltic,5Beans,Sixpoint Brewery,,,,,,,
Porters,Porter - Baltic,Baltic Porter,Alaskan Brewing Co.,,,,,,,
Porters,Porter - Baltic,Imperial Baltic Porter,Southampton Publick House,,,,,,,
Porters,Porter - Baltic,Baltic Porter,Foothills Brewing Company - Downtown Brewpub,,,,,,,
Porters,Porter - Baltic,Tsarina Esra,Brouwerij De Molen,,,,,,,
Porters,Porter - English,Publican Porter (Imperial London Porter),Short's Brewing Company,,,,,,,
