key,Style_Key,ABV,Avg_Rating,Min_IBU,Max_IBU,Astringency,Body,Alcohol,Bitter,Sweet,Sour,Salty,Fruits,Hoppy,Spices,Malty
3820,88,5.9,3.67,35,60,14,158,8,49,126,1,0,3,21,6,154
3821,88,6.5,3.9,35,60,26,98,13,108,61,15,0,16,61,9,127
3822,88,6.5,4.05,35,60,8,110,16,67,122,4,34,2,26,22,188
3823,88,5.3,3.89,35,60,14,116,2,61,91,10,2,12,20,57,148
3824,88,7.0,3.6,35,60,5,154,27,71,111,23,0,33,26,14,169
3825,88,5.0,3.5,35,60,9,91,12,53,60,9,0,10,18,4,105
3826,88,6.5,3.9,35,60,6,64,29,34,39,6,0,3,7,145,67
3827,88,6.7,4.13,35,60,13,72,9,114,32,4,0,1,28,8,146
3828,88,6.0,3.78,35,60,20,79,6,62,59,9,0,9,31,9,114
3829,88,6.6,4.06,35,60,12,89,11,49,60,13,0,14,18,13,95
3830,88,5.4,3.3,35,60,1,57,3,31,41,8,0,5,8,2,70
3831,88,5.5,3.8,35,60,10,52,5,53,116,7,1,7,17,7,148
3832,88,5.8,3.85,35,60,6,97,3,94,35,6,1,2,22,7,134
3833,88,5.6,3.65,35,60,5,65,4,84,17,3,0,0,20,2,93
3834,88,5.4,3.67,35,60,14,71,7,91,28,6,0,5,15,3,126
3835,88,6.7,3.89,35,60,9,84,4,42,47,6,0,6,27,18,127
3836,88,6.2,4.15,35,60,18,86,12,130,57,11,1,3,27,10,173
3837,88,6.0,3.95,35,60,3,58,3,22,196,5,0,71,7,4,122
3838,88,5.5,3.8,35,60,6,78,5,75,44,6,0,3,7,7,128
3839,88,6.8,3.99,35,60,12,76,14,64,51,1,0,2,40,5,122
3840,88,5.3,4.03,35,60,21,71,8,88,32,12,0,7,18,19,175
3841,88,5.8,4.17,35,60,5,99,13,105,78,9,2,2,22,35,134
3842,88,6.7,3.78,35,60,8,80,31,83,58,5,0,5,16,116,127
3843,88,6.5,3.75,35,60,18,160,8,63,112,8,1,5,30,48,141
3844,88,7.1,3.66,35,60,12,78,14,94,44,26,0,30,83,6,85
3845,88,5.8,4.12,35,60,17,122,10,89,73,8,0,52,18,9,164
3846,88,6.5,4.18,35,60,13,95,6,110,53,13,0,1,28,14,174
3847,88,6.1,3.63,35,60,7,77,3,14,59,9,3,8,12,31,75
3848,88,5.8,3.74,35,60,11,77,12,82,46,14,1,13,45,10,97
3849,88,7.0,4.04,35,60,24,105,9,133,46,9,0,8,16,5,173
3850,88,4.6,3.5,35,60,13,89,10,53,139,21,0,74,12,4,114
3901,90,5.0,4.26,20,40,8,150,13,55,121,5,0,6,36,7,152
3902,90,5.7,3.89,20,40,15,101,6,52,72,13,1,18,40,2,99
3903,90,5.5,3.72,20,40,10,73,4,46,39,2,21,2,32,10,86
3904,90,7.4,3.84,20,40,8,84,74,44,73,12,0,18,26,25,107
3905,90,7.0,3.96,20,40,10,67,8,43,41,10,1,7,20,3,78
3906,90,7.9,3.93,20,40,21,72,10,40,69,16,13,19,32,4,92
3907,90,6.5,4.15,20,40,25,126,5,101,85,10,0,11,61,18,180
3908,90,4.0,3.86,20,40,21,105,23,91,76,16,2,21,50,46,144
3909,90,6.9,3.87,20,40,7,122,9,53,99,8,0,9,20,7,136
3910,90,5.2,3.38,20,40,24,70,9,54,62,39,0,35,24,29,98
3911,90,7.4,3.74,20,40,21,85,105,29,133,15,0,22,30,30,175
3912,90,7.0,3.71,20,40,7,100,8,51,75,5,0,12,20,10,106
3913,90,4.8,3.92,20,40,24,104,8,64,56,4,1,15,29,15,126
3914,90,6.1,3.85,20,40,9,66,43,45,46,6,0,8,24,21,92
3915,90,4.6,3.73,20,40,21,108,8,90,53,14,2,9,38,15,127
