beer_name,beer_style,brewery,abv,rating,astringent,body,alcoholic,bitter,sweet,sour,salty,fruity,hoppy,spices,malty
Tap 5: Meine Hopfenweisse,Bock - Weizenbock,Schneider Weisse G. Schneider & Sohn,8.2%,4.12,52,104,69,171,97,154,0,190,220,70,52
Moonglow Weizenbock,Bock - Weizenbock,Victory Brewing Company - Downingtown,8.7%,4.07,31,119,75,36,173,108,0,157,42,92,31
Ayinger Weizenbock,Bock - Weizenbock,Ayinger Privatbrauerei,7.1%,4.21,42,138,87,25,123,140,0,197,27,101,42
Bavarian-Styled Doppel Weizen,Bock - Weizenbock,Lagunitas Brewing Company,8.7%,3.85,32,117,88,65,132,132,0,193,75,92,32
Thumbprint Imperial Weizen,Bock - Weizenbock,New Glarus Brewing Company,9.6%,4.07,52,151,83,115,102,201,0,253,138,123,52
Erdinger Weissbier Pikantus,Bock - Weizenbock,Erdinger Weissbräu,7.3%,3.88,30,136,67,41,161,61,0,93,48,51,30
Ramstein Winter Wheat,Bock - Weizenbock,High Point Brewing Company,9.5%,4.22,51,180,70,47,190,89,0,122,25,67,51
Glockenspiel,Bock - Weizenbock,Great Lakes Brewing Co.,8%,4.06,32,122,67,32,174,93,0,167,33,92,32
Dunkler Weizenbock,Bock - Weizenbock,Brauerei Michael Plank,7.9%,3.93,60,126,63,48,139,96,1,114,37,54,60
Der Weisse Bock,Bock - Weizenbock,Mahr's Bräu,8.5%,3.93,37,128,54,27,137,71,2,88,28,63,37
Heller Weizenbock,Bock - Weizenbock,Brauerei Michael Plank,7.5%,3.95,45,120,68,29,124,126,2,173,44,84,45
Eisenbahn Vigorosa (Weizenbock),Bock - Weizenbock,Cervejaria Sudbrack Ltda,8%,3.78,29,107,62,24,146,66,3,112,29,73,29
Amber,Altbier,Alaskan Brewing Co.,5.3%,3.65,30,84,16,74,126,51,0,44,104,8,30
Double Bag,Altbier,Long Trail Brewing Co.,7.2%,3.9,38,106,56,85,135,56,0,46,116,15,38
Long Trail Ale,Altbier,Long Trail Brewing Co.,5%,3.59,44,72,12,73,86,37,0,27,109,11,44
Doppelsticke,Altbier,Uerige Obergärige Hausbrauerei,8.5%,4.15,32,117,81,117,206,60,1,83,125,18,32
Scurry,Altbier,Off Color Brewing,5.3%,3.67,40,119,20,78,179,26,2,21,51,15,40
Sleigh'r Dark Doüble Alt Ale,Altbier,Ninkasi Brewing Company,7.2%,3.78,33,100,41,110,118,50,2,51,116,45,33
Sticke,Altbier,Uerige Obergärige Hausbrauerei,6%,4.1,51,73,25,94,121,33,0,30,131,23,51
Okto Festival Ale,Altbier,Widmer Brothers Brewing Company,5.3%,3.46,44,69,11,96,149,51,0,50,140,22,44
Copper,Altbier,The Olde Mecklenburg Brewery,4.8%,4.1,59,83,13,77,105,38,3,31,109,26,59
Original,Altbier,Brauerei Pinkus Mueller,5.1%,3.7,60,83,20,69,110,111,3,87,110,15,60
Altbier,Altbier,Uerige Obergärige Hausbrauerei,4.7%,4,62,93,19,127,127,43,2,41,180,29,62
Ad Astra Ale,Altbier,Free State Brewing Co.,5.6%,3.7,23,87,11,69,81,31,0,24,99,15,23
Doppel Sticky,Altbier,Lagunitas Brewing Company,7.7%,4.07,30,70,39,125,140,114,1,148,160,16,30
Ten Years Alt,Altbier,Victory Brewing Company - Downingtown,8.5%,3.96,42,111,50,125,155,44,0,48,168,26,42
Headwall Alt,Altbier,Tuckerman Brewing Co.,4.5%,3.69,43,87,14,92,84,27,1,30,121,18,43
Schell's Schmaltz's Alt,Altbier,August Schell Brewing Company,5.1%,3.75,43,131,23,103,146,51,0,53,99,14,43
Frankenheim Alt,Altbier,Privatbrauerei Frankenheim,4.8%,3.77,47,100,11,75,88,31,0,25,94,13,47
Diebels Premium Altbier,Altbier,Brauerei Diebels GmbH & Co KG,4.9%,3.71,46,77,18,68,70,16,0,14,80,7,46
